"Timestep"	"Time(s)"	"Time(day)"	"Var"	"X"	"Y"	"Z"	"Value"
52	759266	8.787806e+00	"STOTYY"	0.0333333	0.166667	0.166667	1.84989e+07
52	759266	8.787806e+00	"STOTZZ"	0.0333333	0.166667	0.166667	1.89746e+07
52	759266	8.787806e+00	"STOTYZ"	0.0333333	0.166667	0.166667	271251
52	759266	8.787806e+00	"STOTXZ"	0.0333333	0.166667	0.166667	-6438.79
52	759266	8.787806e+00	"STOTXY"	0.0333333	0.166667	0.166667	244031
52	759266	8.787806e+00	"T"	0.0333333	0.166667	0.166667	350
52	759266	8.787806e+00	"INITIAL_T"	0.0333333	0.166667	0.166667	3.95253e-322
52	759266	8.787806e+00	"UX"	-0.0777778	-0.388889	-0.388889	8.2557e-05
52	759266	8.787806e+00	"UY"	-0.0777778	-0.388889	-0.388889	0.000531332
52	759266	8.787806e+00	"UZ"	-0.0777778	-0.388889	-0.388889	0.000501827
52	759266	8.787806e+00	"STOTXX"	-0.0777778	-0.388889	-0.388889	1.92948e+07
52	759266	8.787806e+00	"STOTYY"	-0.0777778	-0.388889	-0.388889	1.95763e+07
52	759266	8.787806e+00	"STOTZZ"	-0.0777778	-0.388889	-0.388889	1.7156e+07
52	759266	8.787806e+00	"STOTYZ"	-0.0777778	-0.388889	-0.388889	-1.70227e+06
52	759266	8.787806e+00	"STOTXZ"	-0.0777778	-0.388889	-0.388889	105790
52	759266	8.787806e+00	"STOTXY"	-0.0777778	-0.388889	-0.388889	-1.29158e+06
52	759266	8.787806e+00	"T"	-0.0777778	-0.388889	-0.388889	350
52	759266	8.787806e+00	"INITIAL_T"	-0.0777778	-0.388889	-0.388889	5.14322e-321
52	759266	8.787806e+00	"UX"	0.0777778	0.388889	0.388889	-8.58007e-05
52	759266	8.787806e+00	"UY"	0.0777778	0.388889	0.388889	-0.000517336
52	759266	8.787806e+00	"UZ"	0.0777778	0.388889	0.388889	-0.000480366
52	759266	8.787806e+00	"STOTXX"	0.0777778	0.388889	0.388889	2.28897e+07
52	759266	8.787806e+00	"STOTYY"	0.0777778	0.388889	0.388889	1.788e+07
52	759266	8.787806e+00	"STOTZZ"	0.0777778	0.388889	0.388889	1.87288e+07
52	759266	8.787806e+00	"STOTYZ"	0.0777778	0.388889	0.388889	-936709
52	759266	8.787806e+00	"STOTXZ"	0.0777778	0.388889	0.388889	-440116
52	759266	8.787806e+00	"STOTXY"	0.0777778	0.388889	0.388889	-125585
52	759266	8.787806e+00	"T"	0.0777778	0.388889	0.388889	350
