,time,ten9_comp,Total Stress,S3 Magnitude,Pressure,Temperature
71,321.71875,zz,-9.874693e+07,-7.906971e+07,6.430403e+07,345.94043
72,492.578125,xx,-7.9158616e+07,-7.914482e+07,6.5157244e+07,345.9573
73,492.578125,xy,5.531754e-10,-7.914482e+07,6.5157244e+07,345.9573
74,492.578125,xz,-2957.688,-7.914482e+07,6.5157244e+07,345.9573
75,492.578125,yx,5.531754e-10,-7.914482e+07,6.5157244e+07,345.9573
76,492.578125,yy,-7.914482e+07,-7.914482e+07,6.5157244e+07,345.9573
77,492.578125,yz,2906.478,-7.914482e+07,6.5157244e+07,345.9573
78,492.578125,zx,-2957.688,-7.914482e+07,6.5157244e+07,345.9573
79,492.578125,zy,2906.478,-7.914482e+07,6.5157244e+07,345.9573
80,492.578125,zz,-9.891432e+07,-7.914482e+07,6.5157244e+07,345.9573
81,748.8671875,xx,-7.9259784e+07,-7.9239096e+07,6.5446412e+07,345.9635
82,748.8671875,xy,5.585281e-10,-7.9239096e+07,6.5446412e+07,345.9635
83,748.8671875,xz,-4404.297,-7.9239096e+07,6.5446412e+07,345.9635
84,748.8671875,yx,5.585281e-10,-7.9239096e+07,6.5446412e+07,345.9635
85,748.8671875,yy,-7.9239096e+07,-7.9239096e+07,6.5446412e+07,345.9635
86,748.8671875,yz,795.4809,-7.9239096e+07,6.5446412e+07,345.9635
87,748.8671875,zx,-4404.297,-7.9239096e+07,6.5446412e+07,345.9635
88,748.8671875,zy,795.4809,-7.9239096e+07,6.5446412e+07,345.9635
89,748.8671875,zz,-9.900157e+07,-7.9239096e+07,6.5446412e+07,345.9635
90,1133.30078125,xx,-7.938262e+07,-7.936341e+07,6.5763628e+07,345.98837
91,1133.30078125,xy,5.6341887e-10,-7.936341e+07,6.5763628e+07,345.98837
92,1133.30078125,xz,-4479.987,-7.936341e+07,6.5763628e+07,345.98837
93,1133.30078125,yx,5.6341887e-10,-7.936341e+07,6.5763628e+07,345.98837
94,1133.30078125,yy,-7.936341e+07,-7.936341e+07,6.5763628e+07,345.98837
95,1133.30078125,yz,211.1737,-7.936341e+07,6.5763628e+07,345.98837
96,1133.30078125,zx,-4479.987,-7.936341e+07,6.5763628e+07,345.98837
97,1133.30078125,zy,211.1737,-7.936341e+07,6.5763628e+07,345.98837
98,1133.30078125,zz,-9.907515e+07,-7.936341e+07,6.5763628e+07,345.98837
99,1709.951171875,xx,-7.948284e+07,-7.946925e+07,6.602247e+07,346.0132
100,1709.951171875,xy,5.6729893e-10,-7.946925e+07,6.602247e+07,346.0132
101,1709.951171875,xz,-3799.4543,-7.946925e+07,6.602247e+07,346.0132
102,1709.951171875,yx,5.6729893e-10,-7.946925e+07,6.602247e+07,346.0132
103,1709.951171875,yy,-7.946925e+07,-7.946925e+07,6.602247e+07,346.0132
104,1709.951171875,yz,804.96643,-7.946925e+07,6.602247e+07,346.0132
105,1709.951171875,zx,-3799.4543,-7.946925e+07,6.602247e+07,346.0132
106,1709.951171875,zy,804.96643,-7.946925e+07,6.602247e+07,346.0132
107,1709.951171875,zz,-9.912828e+07,-7.946925e+07,6.602247e+07,346.0132
108,2574.9267578125,xx,-7.9536776e+07,-7.952528e+07,6.6201984e+07,346.00537
109,2574.9267578125,xy,5.6914967e-10,-7.952528e+07,6.6201984e+07,346.00537
110,2574.9267578125,xz,-3189.8894,-7.952528e+07,6.6201984e+07,346.00537
111,2574.9267578125,yx,5.6914967e-10,-7.952528e+07,6.6201984e+07,346.00537
112,2574.9267578125,yy,-7.952528e+07,-7.952528e+07,6.6201984e+07,346.00537
113,2574.9267578125,yz,1464.9568,-7.952528e+07,6.6201984e+07,346.00537
114,2574.9267578125,zx,-3189.8894,-7.952528e+07,6.6201984e+07,346.00537
115,2574.9267578125,zy,1464.9568,-7.952528e+07,6.6201984e+07,346.00537
116,2574.9267578125,zz,-9.912842e+07,-7.952528e+07,6.6201984e+07,346.00537
117,3872.39013671875,xx,-7.9534984e+07,-7.952438e+07,6.6391348e+07,345.86926
118,3872.39013671875,xy,5.7130745e-10,-7.952438e+07,6.6391348e+07,345.86926
119,3872.39013671875,xz,-2996.1604,-7.952438e+07,6.6391348e+07,345.86926
120,3872.39013671875,yx,5.7130745e-10,-7.952438e+07,6.6391348e+07,345.86926
121,3872.39013671875,yy,-7.952438e+07,-7.952438e+07,6.6391348e+07,345.86926
122,3872.39013671875,yz,1734.2362,-7.952438e+07,6.6391348e+07,345.86926
123,3872.39013671875,zx,-2996.1604,-7.952438e+07,6.6391348e+07,345.86926
124,3872.39013671875,zy,1734.2362,-7.952438e+07,6.6391348e+07,345.86926
125,3872.39013671875,zz,-9.907319e+07,-7.952438e+07,6.6391348e+07,345.86926
126,5818.5849609375,xx,-7.9335896e+07,-7.932685e+07,6.6544812e+07,345.27612
127,5818.5849609375,xy,5.7230964e-10,-7.932685e+07,6.6544812e+07,345.27612
128,5818.5849609375,xz,-2671.3223,-7.932685e+07,6.6544812e+07,345.27612
129,5818.5849609375,yx,5.7230964e-10,-7.932685e+07,6.6544812e+07,345.27612
