,time,point_idx,ten9_comp,Total Stress,S3 Magnitude
96,-1.0,10,zx,-0.059062548,-9.737465e+07
97,-1.0,10,zy,-7.815187,-9.737465e+07
98,-1.0,10,zz,-9.742636e+07,-9.737465e+07
99,-1.0,11,xx,-9.7374664e+07,-9.737465e+07
100,-1.0,11,xy,-0.06579099,-9.737465e+07
101,-1.0,11,xz,-0.039835997,-9.737465e+07
102,-1.0,11,yx,-0.06579099,-9.737465e+07
103,-1.0,11,yy,-9.737465e+07,-9.737465e+07
104,-1.0,11,yz,-8.618788,-9.737465e+07
105,-1.0,11,zx,-0.039835997,-9.737465e+07
106,-1.0,11,zy,-8.618788,-9.737465e+07
107,-1.0,11,zz,-9.742636e+07,-9.737465e+07
108,-1.0,12,xx,-9.737466e+07,-9.737464e+07
109,-1.0,12,xy,-0.10178657,-9.737464e+07
110,-1.0,12,xz,-0.04091683,-9.737464e+07
111,-1.0,12,yx,-0.10178657,-9.737464e+07
112,-1.0,12,yy,-9.737464e+07,-9.737464e+07
113,-1.0,12,yz,-9.405916,-9.737464e+07
114,-1.0,12,zx,-0.04091683,-9.737464e+07
115,-1.0,12,zy,-9.405916,-9.737464e+07
116,-1.0,12,zz,-9.742636e+07,-9.737464e+07
117,-1.0,13,xx,-9.737466e+07,-9.737465e+07
118,-1.0,13,xy,-0.0688874,-9.737465e+07
119,-1.0,13,xz,-0.03662694,-9.737465e+07
120,-1.0,13,yx,-0.0688874,-9.737465e+07
121,-1.0,13,yy,-9.737465e+07,-9.737465e+07
122,-1.0,13,yz,-10.143635,-9.737465e+07
123,-1.0,13,zx,-0.03662694,-9.737465e+07
124,-1.0,13,zy,-10.143635,-9.737465e+07
125,-1.0,13,zz,-9.742636e+07,-9.737465e+07
126,-1.0,14,xx,-9.737466e+07,-9.737465e+07
127,-1.0,14,xy,-0.035988227,-9.737465e+07
128,-1.0,14,xz,-0.0323373,-9.737465e+07
129,-1.0,14,yx,-0.035988227,-9.737465e+07
130,-1.0,14,yy,-9.737465e+07,-9.737465e+07
131,-1.0,14,yz,-10.881353,-9.737465e+07
132,-1.0,14,zx,-0.0323373,-9.737465e+07
133,-1.0,14,zy,-10.881353,-9.737465e+07
134,-1.0,14,zz,-9.742636e+07,-9.737465e+07
135,-1.0,15,xx,-9.737466e+07,-9.737464e+07
136,-1.0,15,xy,-0.031717554,-9.737464e+07
137,-1.0,15,xz,0.004820558,-9.737464e+07
138,-1.0,15,yx,-0.031717554,-9.737464e+07
139,-1.0,15,yy,-9.737464e+07,-9.737464e+07
140,-1.0,15,yz,-11.655979,-9.737464e+07
141,-1.0,15,zx,0.004820558,-9.737464e+07
142,-1.0,15,zy,-11.655979,-9.737464e+07
143,-1.0,15,zz,-9.742636e+07,-9.737464e+07
144,-1.0,16,xx,-9.737466e+07,-9.737465e+07
145,-1.0,16,xy,-0.03785208,-9.737465e+07
146,-1.0,16,xz,0.009801046,-9.737465e+07
147,-1.0,16,yx,-0.03785208,-9.737465e+07
148,-1.0,16,yy,-9.737465e+07,-9.737465e+07
149,-1.0,16,yz,-12.416606,-9.737465e+07
150,-1.0,16,zx,0.009801046,-9.737465e+07
151,-1.0,16,zy,-12.416606,-9.737465e+07
152,-1.0,16,zz,-9.742636e+07,-9.737465e+07
153,-1.0,17,xx,-9.7374664e+07,-9.737465e+07
154,-1.0,17,xy,-0.033640906,-9.737465e+07
155,-1.0,17,xz,-0.004397856,-9.737465e+07
156,-1.0,17,yx,-0.033640906,-9.737465e+07
157,-1.0,17,yy,-9.737465e+07,-9.737465e+07
158,-1.0,17,yz,-13.226126,-9.737465e+07
159,-1.0,17,zx,-0.004397856,-9.737465e+07
160,-1.0,17,zy,-13.226126,-9.737465e+07
161,-1.0,17,zz,-9.742636e+07,-9.737465e+07
162,-1.0,18,xx,-9.7374664e+07,-9.737465e+07
163,-1.0,18,xy,-0.003999237,-9.737465e+07
164,-1.0,18,xz,-0.05197301,-9.737465e+07
165,-1.0,18,yx,-0.003999237,-9.737465e+07
166,-1.0,18,yy,-9.737465e+07,-9.737465e+07
167,-1.0,18,yz,-13.91552,-9.737465e+07
168,-1.0,18,zx,-0.05197301,-9.737465e+07
169,-1.0,18,zy,-13.91552,-9.737465e+07
170,-1.0,18,zz,-9.742636e+07,-9.737465e+07
171,-1.0,19,xx,-9.737466e+07,-9.737465e+07
172,-1.0,19,xy,0.017084176,-9.737465e+07
173,-1.0,19,xz,-0.010954425,-9.737465e+07
174,-1.0,19,yx,0.017084176,-9.737465e+07
175,-1.0,19,yy,-9.737465e+07,-9.737465e+07
176,-1.0,19,yz,-14.673659,-9.737465e+07
177,-1.0,19,zx,-0.010954425,-9.737465e+07
178,-1.0,19,zy,-14.673659,-9.737465e+07
179,-1.0,19,zz,-9.742636e+07,-9.737465e+07
180,-1.0,20,xx,-9.737466e+07,-9.737465e+07
181,-1.0,20,xy,0.031309813,-9.737465e+07
182,-1.0,20,xz,0.012842847,-9.737465e+07
183,-1.0,20,yx,0.031309813,-9.737465e+07
184,-1.0,20,yy,-9.737465e+07,-9.737465e+07
185,-1.0,20,yz,-15.400586,-9.737465e+07
186,-1.0,20,zx,0.012842847,-9.737465e+07
187,-1.0,20,zy,-15.400586,-9.737465e+07
188,-1.0,20,zz,-9.742636e+07,-9.737465e+07
189,-1.0,21,xx,-9.737466e+07,-9.737465e+07
190,-1.0,21,xy,0.0050359075,-9.737465e+07
191,-1.0,21,xz,-0.015180993,-9.737465e+07
192,-1.0,21,yx,0.0050359075,-9.737465e+07
193,-1.0,21,yy,-9.737465e+07,-9.737465e+07
194,-1.0,21,yz,-16.107847,-9.737465e+07
195,-1.0,21,zx,-0.015180993,-9.737465e+07
196,-1.0,21,zy,-16.107847,-9.737465e+07
197,-1.0,21,zz,-9.742636e+07,-9.737465e+07
198,-1.0,22,xx,-9.737466e+07,-9.737465e+07
199,-1.0,22,xy,-0.023064256,-9.737465e+07
200,-1.0,22,xz,-0.025799537,-9.737465e+07
201,-1.0,22,yx,-0.023064256,-9.737465e+07
202,-1.0,22,yy,-9.737465e+07,-9.737465e+07
203,-1.0,22,yz,-16.805676,-9.737465e+07
204,-1.0,22,zx,-0.025799537,-9.737465e+07
205,-1.0,22,zy,-16.805676,-9.737465e+07
206,-1.0,22,zz,-9.742636e+07,-9.737465e+07
207,-1.0,23,xx,-9.737466e+07,-9.737464e+07
208,-1.0,23,xy,-0.051164437,-9.737464e+07
209,-1.0,23,xz,-0.03641897,-9.737464e+07
210,-1.0,23,yx,-0.051164437,-9.737464e+07
211,-1.0,23,yy,-9.737464e+07,-9.737464e+07
212,-1.0,23,yz,-17.503504,-9.737464e+07
213,-1.0,23,zx,-0.03641897,-9.737464e+07
214,-1.0,23,zy,-17.503504,-9.737464e+07
215,-1.0,23,zz,-9.742636e+07,-9.737464e+07
216,-1.0,24,xx,-9.737465e+07,-9.737464e+07
217,-1.0,24,xy,-0.07416424,-9.737464e+07
218,-1.0,24,xz,-0.07607529,-9.737464e+07
219,-1.0,24,yx,-0.07416424,-9.737464e+07
220,-1.0,24,yy,-9.737464e+07,-9.737464e+07
221,-1.0,24,yz,-18.07926,-9.737464e+07
222,-1.0,24,zx,-0.07607529,-9.737464e+07
223,-1.0,24,zy,-18.07926,-9.737464e+07
224,-1.0,24,zz,-9.742635e+07,-9.737464e+07
225,-1.0,25,xx,-9.737466e+07,-9.737464e+07
226,-1.0,25,xy,-0.02605438,-9.737464e+07
227,-1.0,25,xz,0.0008204313,-9.737464e+07
228,-1.0,25,yx,-0.02605438,-9.737464e+07
229,-1.0,25,yy,-9.737464e+07,-9.737464e+07
230,-1.0,25,yz,-18.841131,-9.737464e+07
231,-1.0,25,zx,0.0008204313,-9.737464e+07
232,-1.0,25,zy,-18.841131,-9.737464e+07
233,-1.0,25,zz,-9.742635e+07,-9.737464e+07
234,-1.0,26,xx,-9.737466e+07,-9.737464e+07
235,-1.0,26,xy,-0.02155087,-9.737464e+07
236,-1.0,26,xz,0.017760804,-9.737464e+07
237,-1.0,26,yx,-0.02155087,-9.737464e+07
238,-1.0,26,yy,-9.737464e+07,-9.737464e+07
239,-1.0,26,yz,-19.493559,-9.737464e+07
240,-1.0,26,zx,0.017760804,-9.737464e+07
241,-1.0,26,zy,-19.493559,-9.737464e+07
242,-1.0,26,zz,-9.742635e+07,-9.737464e+07
243,-1.0,27,xx,-9.737465e+07,-9.737463e+07
244,-1.0,27,xy,-0.056731917,-9.737463e+07
245,-1.0,27,xz,-0.09962887,-9.737463e+07
246,-1.0,27,yx,-0.056731917,-9.737463e+07
247,-1.0,27,yy,-9.737463e+07,-9.737463e+07
248,-1.0,27,yz,-20.016611,-9.737463e+07
249,-1.0,27,zx,-0.09962887,-9.737463e+07
250,-1.0,27,zy,-20.016611,-9.737463e+07
251,-1.0,27,zz,-9.7426344e+07,-9.737463e+07
252,-1.0,28,xx,-9.737465e+07,-9.737464e+07
253,-1.0,28,xy,-0.032282002,-9.737464e+07
254,-1.0,28,xz,-0.07970322,-9.737464e+07
255,-1.0,28,yx,-0.032282002,-9.737464e+07
256,-1.0,28,yy,-9.737464e+07,-9.737464e+07
257,-1.0,28,yz,-20.72652,-9.737464e+07
258,-1.0,28,zx,-0.07970322,-9.737464e+07
259,-1.0,28,zy,-20.72652,-9.737464e+07
260,-1.0,28,zz,-9.742635e+07,-9.737464e+07
261,-1.0,29,xx,-9.737466e+07,-9.737464e+07
262,-1.0,29,xy,-0.010751954,-9.737464e+07
263,-1.0,29,xz,-0.06431448,-9.737464e+07
264,-1.0,29,yx,-0.010751954,-9.737464e+07
265,-1.0,29,yy,-9.737464e+07,-9.737464e+07
266,-1.0,29,yz,-21.43377,-9.737464e+07
267,-1.0,29,zx,-0.06431448,-9.737464e+07
268,-1.0,29,zy,-21.43377,-9.737464e+07
269,-1.0,29,zz,-9.742635e+07,-9.737464e+07
