"Timestep"	"Time(s)"	"Time(day)"	"Var"	"X"	"Y"	"Z"	"Value"
12	37.1635	4.301328e-04	"STOTYY"	0.0777778	0.388889	0.388889	3.64285e+07
12	37.1635	4.301328e-04	"STOTZZ"	0.0777778	0.388889	0.388889	3.69066e+07
12	37.1635	4.301328e-04	"STOTYZ"	0.0777778	0.388889	0.388889	-734838
12	37.1635	4.301328e-04	"STOTXZ"	0.0777778	0.388889	0.388889	-418321
12	37.1635	4.301328e-04	"STOTXY"	0.0777778	0.388889	0.388889	-334612
12	37.1635	4.301328e-04	"T"	0.0777778	0.388889	0.388889	350
12	37.1635	4.301328e-04	"INITIAL_T"	0.0777778	0.388889	0.388889	3.48316e-321
12	37.1635	4.301328e-04	"UX"	0.1	0.5	0.5	-7.60313e-05
12	37.1635	4.301328e-04	"UY"	0.1	0.5	0.5	-0.000470807
12	37.1635	4.301328e-04	"UZ"	0.1	0.5	0.5	-0.00046276
12	37.1635	4.301328e-04	"STOTXX"	0.1	0.5	0.5	4.07323e+07
12	37.1635	4.301328e-04	"STOTYY"	0.1	0.5	0.5	3.99242e+07
12	37.1635	4.301328e-04	"STOTZZ"	0.1	0.5	0.5	3.83601e+07
12	37.1635	4.301328e-04	"STOTYZ"	0.1	0.5	0.5	-566097
12	37.1635	4.301328e-04	"STOTXZ"	0.1	0.5	0.5	-404147
12	37.1635	4.301328e-04	"STOTXY"	0.1	0.5	0.5	-152927
12	37.1635	4.301328e-04	"T"	0.1	0.5	0.5	350
12	37.1635	4.301328e-04	"INITIAL_T"	0.1	0.5	0.5	3.95253e-322
12	37.1635	4.301328e-04	"UX"	-0.1	-0.5	-0.5	9.52957e-05
12	37.1635	4.301328e-04	"UY"	-0.1	-0.5	-0.5	0.000473106
12	37.1635	4.301328e-04	"UZ"	-0.1	-0.5	-0.5	0.000472009
12	37.1635	4.301328e-04	"STOTXX"	-0.1	-0.5	-0.5	3.73249e+07
12	37.1635	4.301328e-04	"STOTYY"	-0.1	-0.5	-0.5	3.47107e+07
12	37.1635	4.301328e-04	"STOTZZ"	-0.1	-0.5	-0.5	3.53209e+07
12	37.1635	4.301328e-04	"STOTYZ"	-0.1	-0.5	-0.5	-162608
12	37.1635	4.301328e-04	"STOTXZ"	-0.1	-0.5	-0.5	544768
12	37.1635	4.301328e-04	"STOTXY"	-0.1	-0.5	-0.5	-1.21097e+06
12	37.1635	4.301328e-04	"T"	-0.1	-0.5	-0.5	350
12	37.1635	4.301328e-04	"INITIAL_T"	-0.1	-0.5	-0.5	3.95253e-322
12	37.1635	4.301328e-04	"UX"	-0.0555556	-0.277778	-0.277778	4.79593e-05
12	37.1635	4.301328e-04	"UY"	-0.0555556	-0.277778	-0.277778	0.00026389
12	37.1635	4.301328e-04	"UZ"	-0.0555556	-0.277778	-0.277778	0.000242795
12	37.1635	4.301328e-04	"STOTXX"	-0.0555556	-0.277778	-0.277778	3.80742e+07
12	37.1635	4.301328e-04	"STOTYY"	-0.0555556	-0.277778	-0.277778	3.82182e+07
12	37.1635	4.301328e-04	"STOTZZ"	-0.0555556	-0.277778	-0.277778	3.79563e+07
12	37.1635	4.301328e-04	"STOTYZ"	-0.0555556	-0.277778	-0.277778	-457877
12	37.1635	4.301328e-04	"STOTXZ"	-0.0555556	-0.277778	-0.277778	368686
12	37.1635	4.301328e-04	"STOTXY"	-0.0555556	-0.277778	-0.277778	-465970
12	37.1635	4.301328e-04	"T"	-0.0555556	-0.277778	-0.277778	350
12	37.1635	4.301328e-04	"INITIAL_T"	-0.0555556	-0.277778	-0.277778	3.56221e-321
12	37.1635	4.301328e-04	"UX"	-0.0333333	-0.166667	-0.166667	2.98566e-05
12	37.1635	4.301328e-04	"UY"	-0.0333333	-0.166667	-0.166667	0.000157697
12	37.1635	4.301328e-04	"UZ"	-0.0333333	-0.166667	-0.166667	0.00014064
12	37.1635	4.301328e-04	"STOTXX"	-0.0333333	-0.166667	-0.166667	3.80742e+07
12	37.1635	4.301328e-04	"STOTYY"	-0.0333333	-0.166667	-0.166667	3.82182e+07
12	37.1635	4.301328e-04	"STOTZZ"	-0.0333333	-0.166667	-0.166667	3.79563e+07
12	37.1635	4.301328e-04	"STOTYZ"	-0.0333333	-0.166667	-0.166667	-457877
12	37.1635	4.301328e-04	"STOTXZ"	-0.0333333	-0.166667	-0.166667	368686
12	37.1635	4.301328e-04	"STOTXY"	-0.0333333	-0.166667	-0.166667	-465970
12	37.1635	4.301328e-04	"T"	-0.0333333	-0.166667	-0.166667	350
12	37.1635	4.301328e-04	"INITIAL_T"	-0.0333333	-0.166667	-0.166667	3.56221e-321
12	37.1635	4.301328e-04	"UX"	-0.0111111	-0.0555556	-0.0555556	1.17539e-05
12	37.1635	4.301328e-04	"UY"	-0.0111111	-0.0555556	-0.0555556	5.15033e-05
12	37.1635	4.301328e-04	"UZ"	-0.0111111	-0.0555556	-0.0555556	3.84848e-05
12	37.1635	4.301328e-04	"STOTXX"	-0.0111111	-0.0555556	-0.0555556	3.80742e+07
12	37.1635	4.301328e-04	"STOTYY"	-0.0111111	-0.0555556	-0.0555556	3.82182e+07
12	37.1635	4.301328e-04	"STOTZZ"	-0.0111111	-0.0555556	-0.0555556	3.79563e+07
12	37.1635	4.301328e-04	"STOTYZ"	-0.0111111	-0.0555556	-0.0555556	-457877
12	37.1635	4.301328e-04	"STOTXZ"	-0.0111111	-0.0555556	-0.0555556	368686
12	37.1635	4.301328e-04	"STOTXY"	-0.0111111	-0.0555556	-0.0555556	-465970
12	37.1635	4.301328e-04	"T"	-0.0111111	-0.0555556	-0.0555556	350
12	37.1635	4.301328e-04	"INITIAL_T"	-0.0111111	-0.0555556	-0.0555556	3.95253e-322
13	48.8125	5.649597e-04	"UX"	0.0555556	0.277778	0.277778	-4.88829e-05
13	48.8125	5.649597e-04	"UY"	0.0555556	0.277778	0.277778	-0.000260695
13	48.8125	5.649597e-04	"UZ"	0.0555556	0.277778	0.277778	-0.000253792
13	48.8125	5.649597e-04	"STOTXX"	0.0555556	0.277778	0.277778	3.73657e+07
13	48.8125	5.649597e-04	"STOTYY"	0.0555556	0.277778	0.277778	3.80892e+07
13	48.8125	5.649597e-04	"STOTZZ"	0.0555556	0.277778	0.277778	3.81751e+07
13	48.8125	5.649597e-04	"STOTYZ"	0.0555556	0.277778	0.277778	588519
13	48.8125	5.649597e-04	"STOTXZ"	0.0555556	0.277778	0.277778	-466183
13	48.8125	5.649597e-04	"STOTXY"	0.0555556	0.277778	0.277778	-278347
13	48.8125	5.649597e-04	"T"	0.0555556	0.277778	0.277778	350
13	48.8125	5.649597e-04	"INITIAL_T"	0.0555556	0.277778	0.277778	3.40411e-321
13	48.8125	5.649597e-04	"UX"	0.0111111	0.0555556	0.0555556	-6.97489e-06
13	48.8125	5.649597e-04	"UY"	0.0111111	0.0555556	0.0555556	-5.40722e-05
13	48.8125	5.649597e-04	"UZ"	0.0111111	0.0555556	0.0555556	-6.15435e-05
13	48.8125	5.649597e-04	"STOTXX"	0.0111111	0.0555556	0.0555556	3.66466e+07
13	48.8125	5.649597e-04	"STOTYY"	0.0111111	0.0555556	0.0555556	3.70124e+07
13	48.8125	5.649597e-04	"STOTZZ"	0.0111111	0.0555556	0.0555556	3.74386e+07
13	48.8125	5.649597e-04	"STOTYZ"	0.0111111	0.0555556	0.0555556	136869
13	48.8125	5.649597e-04	"STOTXZ"	0.0111111	0.0555556	0.0555556	-17201.5
13	48.8125	5.649597e-04	"STOTXY"	0.0111111	0.0555556	0.0555556	49620
13	48.8125	5.649597e-04	"T"	0.0111111	0.0555556	0.0555556	350
13	48.8125	5.649597e-04	"INITIAL_T"	0.0111111	0.0555556	0.0555556	3.95253e-322
13	48.8125	5.649597e-04	"UX"	0.0333333	0.166667	0.166667	-2.62376e-05
13	48.8125	5.649597e-04	"UY"	0.0333333	0.166667	0.166667	-0.000158952
13	48.8125	5.649597e-04	"UZ"	0.0333333	0.166667	0.166667	-0.000157962
13	48.8125	5.649597e-04	"STOTXX"	0.0333333	0.166667	0.166667	3.66466e+07
13	48.8125	5.649597e-04	"STOTYY"	0.0333333	0.166667	0.166667	3.70124e+07
13	48.8125	5.649597e-04	"STOTZZ"	0.0333333	0.166667	0.166667	3.74386e+07
13	48.8125	5.649597e-04	"STOTYZ"	0.0333333	0.166667	0.166667	136869
13	48.8125	5.649597e-04	"STOTXZ"	0.0333333	0.166667	0.166667	-17201.5
13	48.8125	5.649597e-04	"STOTXY"	0.0333333	0.166667	0.166667	49620
13	48.8125	5.649597e-04	"T"	0.0333333	0.166667	0.166667	350
13	48.8125	5.649597e-04	"INITIAL_T"	0.0333333	0.166667	0.166667	3.95253e-322
13	48.8125	5.649597e-04	"UX"	-0.0777778	-0.388889	-0.388889	7.23545e-05
13	48.8125	5.649597e-04	"UY"	-0.0777778	-0.388889	-0.388889	0.000368353
13	48.8125	5.649597e-04	"UZ"	-0.0777778	-0.388889	-0.388889	0.000358502
13	48.8125	5.649597e-04	"STOTXX"	-0.0777778	-0.388889	-0.388889	3.75969e+07
13	48.8125	5.649597e-04	"STOTYY"	-0.0777778	-0.388889	-0.388889	3.81114e+07
13	48.8125	5.649597e-04	"STOTZZ"	-0.0777778	-0.388889	-0.388889	3.66521e+07
13	48.8125	5.649597e-04	"STOTYZ"	-0.0777778	-0.388889	-0.388889	-1.00024e+06
13	48.8125	5.649597e-04	"STOTXZ"	-0.0777778	-0.388889	-0.388889	210363
13	48.8125	5.649597e-04	"STOTXY"	-0.0777778	-0.388889	-0.388889	-804143
13	48.8125	5.649597e-04	"T"	-0.0777778	-0.388889	-0.388889	350
13	48.8125	5.649597e-04	"INITIAL_T"	-0.0777778	-0.388889	-0.388889	3.95253e-322
13	48.8125	5.649597e-04	"UX"	0.0777778	0.388889	0.388889	-7.4173e-05
13	48.8125	5.649597e-04	"UY"	0.0777778	0.388889	0.388889	-0.000359697
13	48.8125	5.649597e-04	"UZ"	0.0777778	0.388889	0.388889	-0.000351229
13	48.8125	5.649597e-04	"STOTXX"	0.0777778	0.388889	0.388889	3.92891e+07
13	48.8125	5.649597e-04	"STOTYY"	0.0777778	0.388889	0.388889	3.6204e+07
13	48.8125	5.649597e-04	"STOTZZ"	0.0777778	0.388889	0.388889	3.66881e+07
13	48.8125	5.649597e-04	"STOTYZ"	0.0777778	0.388889	0.388889	-750184
13	48.8125	5.649597e-04	"STOTXZ"	0.0777778	0.388889	0.388889	-433142
13	48.8125	5.649597e-04	"STOTXY"	0.0777778	0.388889	0.388889	-333821
13	48.8125	5.649597e-04	"T"	0.0777778	0.388889	0.388889	350
13	48.8125	5.649597e-04	"INITIAL_T"	0.0777778	0.388889	0.388889	3.56221e-321
13	48.8125	5.649597e-04	"UX"	0.1	0.5	0.5	-7.63663e-05
13	48.8125	5.649597e-04	"UY"	0.1	0.5	0.5	-0.000473376
13	48.8125	5.649597e-04	"UZ"	0.1	0.5	0.5	-0.000465157
13	48.8125	5.649597e-04	"STOTXX"	0.1	0.5	0.5	4.0584e+07
13	48.8125	5.649597e-04	"STOTYY"	0.1	0.5	0.5	3.97374e+07
13	48.8125	5.649597e-04	"STOTZZ"	0.1	0.5	0.5	3.81569e+07
13	48.8125	5.649597e-04	"STOTYZ"	0.1	0.5	0.5	-569679
13	48.8125	5.649597e-04	"STOTXZ"	0.1	0.5	0.5	-415874
13	48.8125	5.649597e-04	"STOTXY"	0.1	0.5	0.5	-158557
13	48.8125	5.649597e-04	"T"	0.1	0.5	0.5	350
13	48.8125	5.649597e-04	"INITIAL_T"	0.1	0.5	0.5	3.72031e-321
13	48.8125	5.649597e-04	"UX"	-0.1	-0.5	-0.5	9.57355e-05
13	48.8125	5.649597e-04	"UY"	-0.1	-0.5	-0.5	0.000475614
13	48.8125	5.649597e-04	"UZ"	-0.1	-0.5	-0.5	0.000473902
13	48.8125	5.649597e-04	"STOTXX"	-0.1	-0.5	-0.5	3.70898e+07
13	48.8125	5.649597e-04	"STOTYY"	-0.1	-0.5	-0.5	3.44124e+07
13	48.8125	5.649597e-04	"STOTZZ"	-0.1	-0.5	-0.5	3.5062e+07
13	48.8125	5.649597e-04	"STOTYZ"	-0.1	-0.5	-0.5	-173351
13	48.8125	5.649597e-04	"STOTXZ"	-0.1	-0.5	-0.5	549097
13	48.8125	5.649597e-04	"STOTXY"	-0.1	-0.5	-0.5	-1.2466e+06
13	48.8125	5.649597e-04	"T"	-0.1	-0.5	-0.5	350
13	48.8125	5.649597e-04	"INITIAL_T"	-0.1	-0.5	-0.5	3.95253e-322
13	48.8125	5.649597e-04	"UX"	-0.0555556	-0.277778	-0.277778	4.80463e-05
13	48.8125	5.649597e-04	"UY"	-0.0555556	-0.277778	-0.277778	0.000265332
13	48.8125	5.649597e-04	"UZ"	-0.0555556	-0.277778	-0.277778	0.000243276
13	48.8125	5.649597e-04	"STOTXX"	-0.0555556	-0.277778	-0.277778	3.78603e+07
13	48.8125	5.649597e-04	"STOTYY"	-0.0555556	-0.277778	-0.277778	3.80128e+07
13	48.8125	5.649597e-04	"STOTZZ"	-0.0555556	-0.277778	-0.277778	3.77482e+07
13	48.8125	5.649597e-04	"STOTYZ"	-0.0555556	-0.277778	-0.277778	-469847
13	48.8125	5.649597e-04	"STOTXZ"	-0.0555556	-0.277778	-0.277778	378923
13	48.8125	5.649597e-04	"STOTXY"	-0.0555556	-0.277778	-0.277778	-477455
13	48.8125	5.649597e-04	"T"	-0.0555556	-0.277778	-0.277778	350
13	48.8125	5.649597e-04	"INITIAL_T"	-0.0555556	-0.277778	-0.277778	4.19462e-321
13	48.8125	5.649597e-04	"UX"	-0.0333333	-0.166667	-0.166667	2.98903e-05
13	48.8125	5.649597e-04	"UY"	-0.0333333	-0.166667	-0.166667	0.000158546
13	48.8125	5.649597e-04	"UZ"	-0.0333333	-0.166667	-0.166667	0.000140632
13	48.8125	5.649597e-04	"STOTXX"	-0.0333333	-0.166667	-0.166667	3.78603e+07
13	48.8125	5.649597e-04	"STOTYY"	-0.0333333	-0.166667	-0.166667	3.80128e+07
13	48.8125	5.649597e-04	"STOTZZ"	-0.0333333	-0.166667	-0.166667	3.77482e+07
13	48.8125	5.649597e-04	"STOTYZ"	-0.0333333	-0.166667	-0.166667	-469847
13	48.8125	5.649597e-04	"STOTXZ"	-0.0333333	-0.166667	-0.166667	378923
13	48.8125	5.649597e-04	"STOTXY"	-0.0333333	-0.166667	-0.166667	-477455
13	48.8125	5.649597e-04	"T"	-0.0333333	-0.166667	-0.166667	350
13	48.8125	5.649597e-04	"INITIAL_T"	-0.0333333	-0.166667	-0.166667	4.51082e-321
13	48.8125	5.649597e-04	"UX"	-0.0111111	-0.0555556	-0.0555556	1.17344e-05
13	48.8125	5.649597e-04	"UY"	-0.0111111	-0.0555556	-0.0555556	5.17606e-05
13	48.8125	5.649597e-04	"UZ"	-0.0111111	-0.0555556	-0.0555556	3.79876e-05
13	48.8125	5.649597e-04	"STOTXX"	-0.0111111	-0.0555556	-0.0555556	3.78603e+07
13	48.8125	5.649597e-04	"STOTYY"	-0.0111111	-0.0555556	-0.0555556	3.80128e+07
13	48.8125	5.649597e-04	"STOTZZ"	-0.0111111	-0.0555556	-0.0555556	3.77482e+07
13	48.8125	5.649597e-04	"STOTYZ"	-0.0111111	-0.0555556	-0.0555556	-469847
13	48.8125	5.649597e-04	"STOTXZ"	-0.0111111	-0.0555556	-0.0555556	378923
13	48.8125	5.649597e-04	"STOTXY"	-0.0111111	-0.0555556	-0.0555556	-477455
13	48.8125	5.649597e-04	"T"	-0.0111111	-0.0555556	-0.0555556	350
13	48.8125	5.649597e-04	"INITIAL_T"	-0.0111111	-0.0555556	-0.0555556	3.95253e-322
14	63.9563	7.402346e-04	"UX"	0.0555556	0.277778	0.277778	-4.92137e-05
14	63.9563	7.402346e-04	"UY"	0.0555556	0.277778	0.277778	-0.000262281
14	63.9563	7.402346e-04	"UZ"	0.0555556	0.277778	0.277778	-0.000255354
14	63.9563	7.402346e-04	"STOTXX"	0.0555556	0.277778	0.277778	3.7102e+07
14	63.9563	7.402346e-04	"STOTYY"	0.0555556	0.277778	0.277778	3.78538e+07
14	63.9563	7.402346e-04	"STOTZZ"	0.0555556	0.277778	0.277778	3.79525e+07
14	63.9563	7.402346e-04	"STOTYZ"	0.0555556	0.277778	0.277778	604691
14	63.9563	7.402346e-04	"STOTXZ"	0.0555556	0.277778	0.277778	-486232
14	63.9563	7.402346e-04	"STOTXY"	0.0555556	0.277778	0.277778	-290677
14	63.9563	7.402346e-04	"T"	0.0555556	0.277778	0.277778	350
14	63.9563	7.402346e-04	"INITIAL_T"	0.0555556	0.277778	0.277778	3.95253e-322
14	63.9563	7.402346e-04	"UX"	0.0111111	0.0555556	0.0555556	-7.05517e-06
14	63.9563	7.402346e-04	"UY"	0.0111111	0.0555556	0.0555556	-5.44394e-05
14	63.9563	7.402346e-04	"UZ"	0.0111111	0.0555556	0.0555556	-6.24719e-05
14	63.9563	7.402346e-04	"STOTXX"	0.0111111	0.0555556	0.0555556	3.63578e+07
14	63.9563	7.402346e-04	"STOTYY"	0.0111111	0.0555556	0.0555556	3.67476e+07
14	63.9563	7.402346e-04	"STOTZZ"	0.0111111	0.0555556	0.0555556	3.71896e+07
14	63.9563	7.402346e-04	"STOTYZ"	0.0111111	0.0555556	0.0555556	141862
14	63.9563	7.402346e-04	"STOTXZ"	0.0111111	0.0555556	0.0555556	-15792.1
14	63.9563	7.402346e-04	"STOTXY"	0.0111111	0.0555556	0.0555556	51317.2
14	63.9563	7.402346e-04	"T"	0.0111111	0.0555556	0.0555556	350
