sig_MPa	eps_ss_rate_h
3.9874703950938772	5.498520297912062e-7
4.992792357490732	0.0000030461996384214238
6.017617594390859	0.0000051673480538620544
6.995400029084565	0.000008455551991241928
7.970436888266084	0.000013346641970360601
8.95465427353651	0.00003076051344850362
9.939956441563336	0.000050036246982953654
11.980241213213993	0.00012098752440597886
13.982898658907931	0.00015947003922225656
15.995965621404077	0.0003588007833264139
17.97120332536874	0.00033179282800617835
19.948618092889816	0.0010388857652237201
21.966512705385778	0.0006423506506374423
